GP_CODE,GP_NAME,APPOINTMENT_MONTH_START_DATE,imd_decile,total_patients,total_appointments,dna_count,face_to_face_count,same_day_count,appts_per_1000_patients,dna_rate_pct
C88009,FOXHILL MEDICAL CENTRE,2025-11-01 00:00:00,1,6195,4992,122,1783,2244,805.8,2.44
C88009,FOXHILL MEDICAL CENTRE,2025-12-01 00:00:00,1,6195,4741,114,1562,2208,765.3,2.4
C88009,FOXHILL MEDICAL CENTRE,2026-01-01 00:00:00,1,6195,5442,116,2087,2543,878.5,2.13
C88009,FOXHILL MEDICAL CENTRE,2026-02-01 00:00:00,1,6195,5407,130,2039,2444,872.8,2.4
C88009,FOXHILL MEDICAL CENTRE,2026-04-01 00:00:00,1,6195,4686,94,1527,2132,756.4,2.01
C88009,FOXHILL MEDICAL CENTRE,2026-05-01 00:00:00,1,6195,4753,109,1611,2213,767.2,2.29
C88010,CHAPELGREEN PRACTICE,2025-11-01 00:00:00,3,14171,8306,85,4876,5412,586.1,1.02
C88010,CHAPELGREEN PRACTICE,2025-12-01 00:00:00,3,14171,8735,77,4908,5631,616.4,0.88
C88010,CHAPELGREEN PRACTICE,2026-01-01 00:00:00,3,14171,9469,87,5264,5916,668.2,0.92
C88010,CHAPELGREEN PRACTICE,2026-02-01 00:00:00,3,14171,9347,90,4702,5882,659.6,0.96
C88010,CHAPELGREEN PRACTICE,2026-04-01 00:00:00,3,14171,8837,72,4496,5872,623.6,0.81
C88010,CHAPELGREEN PRACTICE,2026-05-01 00:00:00,3,14171,8506,96,4393,5471,600.2,1.13
C88011,BUCHANAN ROAD SURGERY,2025-11-01 00:00:00,1,4765,3188,161,1822,1865,669.0,5.05
C88011,BUCHANAN ROAD SURGERY,2025-12-01 00:00:00,1,4765,3112,164,1810,1914,653.1,5.27
C88011,BUCHANAN ROAD SURGERY,2026-01-01 00:00:00,1,4765,3453,174,1981,2073,724.7,5.04
C88011,BUCHANAN ROAD SURGERY,2026-02-01 00:00:00,1,4765,3294,173,1940,1907,691.3,5.25
C88011,BUCHANAN ROAD SURGERY,2026-04-01 00:00:00,1,4765,3077,148,1819,1725,645.8,4.81
C88011,BUCHANAN ROAD SURGERY,2026-05-01 00:00:00,1,4765,2830,159,1650,1598,593.9,5.62
C88014,NORWOOD MEDICAL CENTRE,2025-11-01 00:00:00,1,9675,5963,310,3719,2758,616.3,5.2
C88014,NORWOOD MEDICAL CENTRE,2025-12-01 00:00:00,1,9675,5362,206,3000,2922,554.2,3.84
C88014,NORWOOD MEDICAL CENTRE,2026-01-01 00:00:00,1,9675,5799,223,3332,2961,599.4,3.85
C88014,NORWOOD MEDICAL CENTRE,2026-02-01 00:00:00,1,9675,5281,287,2988,2680,545.8,5.43
C88014,NORWOOD MEDICAL CENTRE,2026-04-01 00:00:00,1,9675,5564,227,3119,2853,575.1,4.08
C88014,NORWOOD MEDICAL CENTRE,2026-05-01 00:00:00,1,9675,5206,257,2851,2620,538.1,4.94
C88015,MEADOWGREEN HEALTH CENTRE,2025-11-01 00:00:00,1,18886,11283,519,6299,5071,597.4,4.6
C88015,MEADOWGREEN HEALTH CENTRE,2025-12-01 00:00:00,1,18886,11663,527,6413,5189,617.5,4.52
C88015,MEADOWGREEN HEALTH CENTRE,2026-01-01 00:00:00,1,18886,12191,549,6958,5249,645.5,4.5
C88015,MEADOWGREEN HEALTH CENTRE,2026-02-01 00:00:00,1,18886,11486,553,6467,5030,608.2,4.81
C88015,MEADOWGREEN HEALTH CENTRE,2026-04-01 00:00:00,1,18886,11774,512,6027,5067,623.4,4.35
C88015,MEADOWGREEN HEALTH CENTRE,2026-05-01 00:00:00,1,18886,11414,533,5501,5390,604.4,4.67
C88016,CARTERKNOWLE & DORE MEDICAL PRACTICE,2025-11-01 00:00:00,4,13591,7330,177,3459,2721,539.3,2.41
C88016,CARTERKNOWLE & DORE MEDICAL PRACTICE,2025-12-01 00:00:00,4,13591,7414,152,3299,3056,545.5,2.05
C88016,CARTERKNOWLE & DORE MEDICAL PRACTICE,2026-01-01 00:00:00,4,13591,7586,106,3230,2995,558.2,1.4
C88016,CARTERKNOWLE & DORE MEDICAL PRACTICE,2026-02-01 00:00:00,4,13591,7488,112,3419,2863,551.0,1.5
C88016,CARTERKNOWLE & DORE MEDICAL PRACTICE,2026-04-01 00:00:00,4,13591,6856,105,2881,2795,504.5,1.53
C88016,CARTERKNOWLE & DORE MEDICAL PRACTICE,2026-05-01 00:00:00,4,13591,6499,108,2783,2510,478.2,1.66
C88018,TRAMWAYS MEDICAL CENTRE (O'CONNELL),2025-11-01 00:00:00,5,8793,5284,144,3900,2574,600.9,2.73
C88018,TRAMWAYS MEDICAL CENTRE (O'CONNELL),2025-12-01 00:00:00,5,8793,5642,129,4001,3040,641.6,2.29
C88018,TRAMWAYS MEDICAL CENTRE (O'CONNELL),2026-01-01 00:00:00,5,8793,5420,111,3991,2969,616.4,2.05
C88018,TRAMWAYS MEDICAL CENTRE (O'CONNELL),2026-02-01 00:00:00,5,8793,5176,119,3847,2682,588.7,2.3
C88018,TRAMWAYS MEDICAL CENTRE (O'CONNELL),2026-04-01 00:00:00,5,8793,5074,136,3542,2798,577.0,2.68
C88018,TRAMWAYS MEDICAL CENTRE (O'CONNELL),2026-05-01 00:00:00,5,8793,4904,141,3341,2469,557.7,2.88
C88019,GLEADLESS MEDICAL CENTRE,2025-11-01 00:00:00,1,8629,3918,250,2547,1482,454.1,6.38
C88019,GLEADLESS MEDICAL CENTRE,2025-12-01 00:00:00,1,8629,3933,277,2421,1567,455.8,7.04
C88019,GLEADLESS MEDICAL CENTRE,2026-01-01 00:00:00,1,8629,4515,293,2849,1613,523.2,6.49
C88019,GLEADLESS MEDICAL CENTRE,2026-02-01 00:00:00,1,8629,4078,260,2598,1437,472.6,6.38
C88019,GLEADLESS MEDICAL CENTRE,2026-04-01 00:00:00,1,8629,4187,309,2551,1615,485.2,7.38
C88019,GLEADLESS MEDICAL CENTRE,2026-05-01 00:00:00,1,8629,3858,264,2473,1468,447.1,6.84
C88020,WHITE HOUSE SURGERY,2025-11-01 00:00:00,1,7713,4158,197,2648,1979,539.1,4.74
C88020,WHITE HOUSE SURGERY,2025-12-01 00:00:00,1,7713,4202,210,2753,1985,544.8,5.0
C88020,WHITE HOUSE SURGERY,2026-01-01 00:00:00,1,7713,4475,210,2942,2010,580.2,4.69
C88020,WHITE HOUSE SURGERY,2026-02-01 00:00:00,1,7713,4096,162,2637,1947,531.1,3.96
C88020,WHITE HOUSE SURGERY,2026-04-01 00:00:00,1,7713,3874,160,2444,1901,502.3,4.13
C88020,WHITE HOUSE SURGERY,2026-05-01 00:00:00,1,7713,3560,152,2189,1845,461.6,4.27
C88021,FAR LANE MEDICAL CENTRE,2025-11-01 00:00:00,7,7484,3973,136,3656,1136,530.9,3.42
C88021,FAR LANE MEDICAL CENTRE,2025-12-01 00:00:00,7,7484,4199,169,3855,1190,561.1,4.02
C88021,FAR LANE MEDICAL CENTRE,2026-01-01 00:00:00,7,7484,4115,134,3791,1115,549.8,3.26
C88021,FAR LANE MEDICAL CENTRE,2026-02-01 00:00:00,7,7484,4015,121,3683,1122,536.5,3.01
C88021,FAR LANE MEDICAL CENTRE,2026-04-01 00:00:00,7,7484,3719,162,3500,953,496.9,4.36
C88021,FAR LANE MEDICAL CENTRE,2026-05-01 00:00:00,7,7484,3378,118,3112,867,451.4,3.49
C88022,STONECROFT MEDICAL CENTRE,2025-11-01 00:00:00,6,5281,2609,126,2157,1056,494.0,4.83
C88022,STONECROFT MEDICAL CENTRE,2025-12-01 00:00:00,6,5281,2605,90,2037,1259,493.3,3.45
C88022,STONECROFT MEDICAL CENTRE,2026-01-01 00:00:00,6,5281,3005,107,2365,1399,569.0,3.56
C88022,STONECROFT MEDICAL CENTRE,2026-02-01 00:00:00,6,5281,2904,108,2328,1210,549.9,3.72
C88022,STONECROFT MEDICAL CENTRE,2026-04-01 00:00:00,6,5281,3004,159,2524,1117,568.8,5.29
C88022,STONECROFT MEDICAL CENTRE,2026-05-01 00:00:00,6,5281,2484,90,1916,1205,470.4,3.62
C88023,SOTHALL & BEIGHTON HEALTH CENTRES,2025-11-01 00:00:00,8,9524,5962,273,3665,2877,626.0,4.58
C88023,SOTHALL & BEIGHTON HEALTH CENTRES,2025-12-01 00:00:00,8,9524,5801,215,3345,3138,609.1,3.71
C88023,SOTHALL & BEIGHTON HEALTH CENTRES,2026-01-01 00:00:00,8,9524,5869,175,3162,3345,616.2,2.98
C88023,SOTHALL & BEIGHTON HEALTH CENTRES,2026-02-01 00:00:00,8,9524,5485,173,2966,3085,575.9,3.15
C88023,SOTHALL & BEIGHTON HEALTH CENTRES,2026-04-01 00:00:00,8,9524,5284,175,2884,2950,554.8,3.31
C88023,SOTHALL & BEIGHTON HEALTH CENTRES,2026-05-01 00:00:00,8,9524,4862,139,2794,2609,510.5,2.86
C88025,BIRLEY HEALTH CENTRE,2025-11-01 00:00:00,4,9330,4560,120,3857,1481,488.7,2.63
C88025,BIRLEY HEALTH CENTRE,2025-12-01 00:00:00,4,9330,4502,123,3767,1535,482.5,2.73
C88025,BIRLEY HEALTH CENTRE,2026-01-01 00:00:00,4,9330,4781,130,4104,1605,512.4,2.72
C88025,BIRLEY HEALTH CENTRE,2026-02-01 00:00:00,4,9330,4501,114,3861,1489,482.4,2.53
C88025,BIRLEY HEALTH CENTRE,2026-04-01 00:00:00,4,9330,4383,131,3678,1472,469.8,2.99
C88025,BIRLEY HEALTH CENTRE,2026-05-01 00:00:00,4,9330,4089,101,3434,1411,438.3,2.47
C88026,SLOAN MEDICAL CENTRE,2025-11-01 00:00:00,5,13922,6683,154,3920,2872,480.0,2.3
C88026,SLOAN MEDICAL CENTRE,2025-12-01 00:00:00,5,13922,6670,160,4095,2782,479.1,2.4
C88026,SLOAN MEDICAL CENTRE,2026-01-01 00:00:00,5,13922,6901,149,4097,2887,495.7,2.16
C88026,SLOAN MEDICAL CENTRE,2026-02-01 00:00:00,5,13922,5781,138,3277,2294,415.2,2.39
C88026,SLOAN MEDICAL CENTRE,2026-04-01 00:00:00,5,13922,8041,156,4117,3688,577.6,1.94
C88026,SLOAN MEDICAL CENTRE,2026-05-01 00:00:00,5,13922,7382,178,3812,3444,530.2,2.41
C88027,UPWELL STREET SURGERY,2025-11-01 00:00:00,1,5138,4371,128,2408,2261,850.7,2.93
C88027,UPWELL STREET SURGERY,2025-12-01 00:00:00,1,5138,4407,127,2370,2247,857.7,2.88
C88027,UPWELL STREET SURGERY,2026-01-01 00:00:00,1,5138,4885,137,2491,2500,950.8,2.8
C88027,UPWELL STREET SURGERY,2026-02-01 00:00:00,1,5138,4493,144,2371,2281,874.5,3.2
C88027,UPWELL STREET SURGERY,2026-04-01 00:00:00,1,5138,4422,108,2307,2274,860.6,2.44
C88027,UPWELL STREET SURGERY,2026-05-01 00:00:00,1,5138,4117,136,2218,2069,801.3,3.3
C88028,BROOMHILL SURGERY,2025-11-01 00:00:00,9,10109,4130,124,2751,2045,408.5,3.0
C88028,BROOMHILL SURGERY,2025-12-01 00:00:00,9,10109,4271,110,2827,2216,422.5,2.58
C88028,BROOMHILL SURGERY,2026-01-01 00:00:00,9,10109,4476,129,2997,2209,442.8,2.88
C88028,BROOMHILL SURGERY,2026-02-01 00:00:00,9,10109,4455,114,2880,2112,440.7,2.56
C88028,BROOMHILL SURGERY,2026-04-01 00:00:00,9,10109,4232,98,2691,1966,418.6,2.32
C88028,BROOMHILL SURGERY,2026-05-01 00:00:00,9,10109,4012,132,2654,1866,396.9,3.29
C88030,DUKE MEDICAL CENTRE,2025-11-01 00:00:00,3,8232,3426,172,1577,1884,416.2,5.02
C88030,DUKE MEDICAL CENTRE,2025-12-01 00:00:00,3,8232,3927,227,1837,2177,477.0,5.78
C88030,DUKE MEDICAL CENTRE,2026-01-01 00:00:00,3,8232,4094,238,1826,2134,497.3,5.81
C88030,DUKE MEDICAL CENTRE,2026-02-01 00:00:00,3,8232,3748,213,1637,1931,455.3,5.68
C88030,DUKE MEDICAL CENTRE,2026-04-01 00:00:00,3,8232,3860,177,1691,2202,468.9,4.59
C88030,DUKE MEDICAL CENTRE,2026-05-01 00:00:00,3,8232,3664,219,1638,2005,445.1,5.98
C88031,UPPERTHORPE MEDICAL CENTRE,2025-11-01 00:00:00,1,13939,5179,192,3488,1796,371.5,3.71
C88031,UPPERTHORPE MEDICAL CENTRE,2025-12-01 00:00:00,1,13939,5358,217,3620,1992,384.4,4.05
C88031,UPPERTHORPE MEDICAL CENTRE,2026-01-01 00:00:00,1,13939,5391,200,3363,2273,386.8,3.71
C88031,UPPERTHORPE MEDICAL CENTRE,2026-02-01 00:00:00,1,13939,4823,132,3153,1990,346.0,2.74
C88031,UPPERTHORPE MEDICAL CENTRE,2026-04-01 00:00:00,1,13939,5416,170,3746,2058,388.6,3.14
C88031,UPPERTHORPE MEDICAL CENTRE,2026-05-01 00:00:00,1,13939,4887,162,3335,1893,350.6,3.31
C88032,CHARNOCK HEALTH PRIMARY CARE CENTRE,2025-11-01 00:00:00,8,5585,2455,75,2352,1178,439.6,3.05
C88032,CHARNOCK HEALTH PRIMARY CARE CENTRE,2025-12-01 00:00:00,8,5585,2849,93,2709,1424,510.1,3.26
C88032,CHARNOCK HEALTH PRIMARY CARE CENTRE,2026-01-01 00:00:00,8,5585,2802,79,2679,1322,501.7,2.82
C88032,CHARNOCK HEALTH PRIMARY CARE CENTRE,2026-02-01 00:00:00,8,5585,2546,77,2438,1229,455.9,3.02
C88032,CHARNOCK HEALTH PRIMARY CARE CENTRE,2026-04-01 00:00:00,8,5585,2225,74,2210,1084,398.4,3.33
C88032,CHARNOCK HEALTH PRIMARY CARE CENTRE,2026-05-01 00:00:00,8,5585,2196,81,2189,1082,393.2,3.69
C88034,NETHERGREEN SURGERY,2025-11-01 00:00:00,8,9098,3617,84,3130,1253,397.6,2.32
C88034,NETHERGREEN SURGERY,2025-12-01 00:00:00,8,9098,3562,77,3073,1415,391.5,2.16
C88034,NETHERGREEN SURGERY,2026-01-01 00:00:00,8,9098,3786,80,3306,1415,416.1,2.11
C88034,NETHERGREEN SURGERY,2026-02-01 00:00:00,8,9098,3412,64,2947,1243,375.0,1.88
C88034,NETHERGREEN SURGERY,2026-04-01 00:00:00,8,9098,3216,64,2774,1140,353.5,1.99
C88034,NETHERGREEN SURGERY,2026-05-01 00:00:00,8,9098,3116,68,2694,1147,342.5,2.18
C88035,FIRTH PARK SURGERY,2025-11-01 00:00:00,1,10700,3969,341,2458,1854,370.9,8.59
C88035,FIRTH PARK SURGERY,2025-12-01 00:00:00,1,10700,4181,386,2703,1937,390.7,9.23
C88035,FIRTH PARK SURGERY,2026-01-01 00:00:00,1,10700,4146,370,2934,1945,387.5,8.92
C88035,FIRTH PARK SURGERY,2026-02-01 00:00:00,1,10700,4685,351,3609,1581,437.9,7.49
C88035,FIRTH PARK SURGERY,2026-04-01 00:00:00,1,10700,4073,319,2967,1623,380.7,7.83
C88035,FIRTH PARK SURGERY,2026-05-01 00:00:00,1,10700,3851,352,2749,1552,359.9,9.14
C88036,HANDSWORTH MEDICAL PRACTICE,2025-11-01 00:00:00,3,10595,7871,131,3042,3507,742.9,1.66
C88036,HANDSWORTH MEDICAL PRACTICE,2025-12-01 00:00:00,3,10595,7977,114,3218,3716,752.9,1.43
C88036,HANDSWORTH MEDICAL PRACTICE,2026-01-01 00:00:00,3,10595,8604,111,3389,3937,812.1,1.29
C88036,HANDSWORTH MEDICAL PRACTICE,2026-02-01 00:00:00,3,10595,8111,143,3328,3541,765.5,1.76
C88036,HANDSWORTH MEDICAL PRACTICE,2026-04-01 00:00:00,3,10595,8658,140,3469,3943,817.2,1.62
C88036,HANDSWORTH MEDICAL PRACTICE,2026-05-01 00:00:00,3,10595,7929,122,2976,3689,748.4,1.54
C88037,STEEL CITY GENERAL PRACTICE,2025-11-01 00:00:00,9,14397,6802,295,4313,2245,472.5,4.34
C88037,STEEL CITY GENERAL PRACTICE,2025-12-01 00:00:00,9,14397,7128,290,4299,2547,495.1,4.07
C88037,STEEL CITY GENERAL PRACTICE,2026-01-01 00:00:00,9,14397,7433,277,5559,3629,516.3,3.73
C88037,STEEL CITY GENERAL PRACTICE,2026-02-01 00:00:00,9,14397,8014,358,5826,3865,556.6,4.47
C88037,STEEL CITY GENERAL PRACTICE,2026-04-01 00:00:00,9,14397,8990,310,5248,5201,624.4,3.45
C88037,STEEL CITY GENERAL PRACTICE,2026-05-01 00:00:00,9,14397,8995,338,5343,5153,624.8,3.76
C88038,THE MATHEWS PRACTICE BELGRAVE,2025-11-01 00:00:00,4,5942,2841,147,1387,1407,478.1,5.17
C88038,THE MATHEWS PRACTICE BELGRAVE,2025-12-01 00:00:00,4,5942,2419,122,994,1430,407.1,5.04
C88038,THE MATHEWS PRACTICE BELGRAVE,2026-01-01 00:00:00,4,5942,2748,143,1249,1550,462.5,5.2
C88038,THE MATHEWS PRACTICE BELGRAVE,2026-02-01 00:00:00,4,5942,2724,158,1344,1425,458.4,5.8
C88038,THE MATHEWS PRACTICE BELGRAVE,2026-04-01 00:00:00,4,5942,2534,147,1197,1410,426.5,5.8
C88038,THE MATHEWS PRACTICE BELGRAVE,2026-05-01 00:00:00,4,5942,2423,118,1225,1350,407.8,4.87
C88039,ECCLESFIELD GROUP PRACT,2025-11-01 00:00:00,7,8942,5702,172,3122,2124,637.7,3.02
C88039,ECCLESFIELD GROUP PRACT,2025-12-01 00:00:00,7,8942,6050,193,3235,2390,676.6,3.19
C88039,ECCLESFIELD GROUP PRACT,2026-01-01 00:00:00,7,8942,5941,182,3242,2321,664.4,3.06
C88039,ECCLESFIELD GROUP PRACT,2026-02-01 00:00:00,7,8942,5564,189,2997,2037,622.2,3.4
C88039,ECCLESFIELD GROUP PRACT,2026-04-01 00:00:00,7,8942,5180,165,2744,1938,579.3,3.19
C88039,ECCLESFIELD GROUP PRACT,2026-05-01 00:00:00,7,8942,5121,208,2802,1982,572.7,4.06
C88040,OUGHTIBRIDGE SURGERY,2025-11-01 00:00:00,6,6125,2319,60,1922,672,378.6,2.59
C88040,OUGHTIBRIDGE SURGERY,2025-12-01 00:00:00,6,6125,2334,69,1986,748,381.1,2.96
C88040,OUGHTIBRIDGE SURGERY,2026-01-01 00:00:00,6,6125,2645,55,2175,923,431.8,2.08
C88040,OUGHTIBRIDGE SURGERY,2026-02-01 00:00:00,6,6125,2463,65,1971,815,402.1,2.64
C88040,OUGHTIBRIDGE SURGERY,2026-04-01 00:00:00,6,6125,2266,88,1944,642,370.0,3.88
C88040,OUGHTIBRIDGE SURGERY,2026-05-01 00:00:00,6,6125,2097,70,1807,624,342.4,3.34
C88041,WOODSEATS MEDICAL CENTRE,2025-11-01 00:00:00,7,12938,11287,193,5648,6502,872.4,1.71
C88041,WOODSEATS MEDICAL CENTRE,2025-12-01 00:00:00,7,12938,11820,197,5723,7374,913.6,1.67
C88041,WOODSEATS MEDICAL CENTRE,2026-01-01 00:00:00,7,12938,12101,221,6146,7418,935.3,1.83
C88041,WOODSEATS MEDICAL CENTRE,2026-02-01 00:00:00,7,12938,10962,215,5479,6413,847.3,1.96
C88041,WOODSEATS MEDICAL CENTRE,2026-04-01 00:00:00,7,12938,11343,176,5245,7137,876.7,1.55
C88041,WOODSEATS MEDICAL CENTRE,2026-05-01 00:00:00,7,12938,9448,100,4636,5871,730.3,1.06
C88043,TRAMWAYS AND MIDDLEWOOD MEDICAL CENTRES,2025-11-01 00:00:00,9,11007,10919,131,9980,4743,992.0,1.2
C88043,TRAMWAYS AND MIDDLEWOOD MEDICAL CENTRES,2025-12-01 00:00:00,9,11007,11992,182,11115,5117,1089.5,1.52
C88043,TRAMWAYS AND MIDDLEWOOD MEDICAL CENTRES,2026-01-01 00:00:00,9,11007,11702,109,10785,5148,1063.1,0.93
C88043,TRAMWAYS AND MIDDLEWOOD MEDICAL CENTRES,2026-02-01 00:00:00,9,11007,11587,132,10717,4696,1052.7,1.14
C88043,TRAMWAYS AND MIDDLEWOOD MEDICAL CENTRES,2026-04-01 00:00:00,9,11007,11204,149,10284,4430,1017.9,1.33
C88043,TRAMWAYS AND MIDDLEWOOD MEDICAL CENTRES,2026-05-01 00:00:00,9,11007,10460,141,9648,4272,950.3,1.35
C88044,MANCHESTER ROAD SURGERY,2025-11-01 00:00:00,10,5407,3379,51,1604,1898,624.9,1.51
C88044,MANCHESTER ROAD SURGERY,2025-12-01 00:00:00,10,5407,3564,52,1637,2072,659.1,1.46
C88044,MANCHESTER ROAD SURGERY,2026-01-01 00:00:00,10,5407,3734,64,1687,2173,690.6,1.71
C88044,MANCHESTER ROAD SURGERY,2026-02-01 00:00:00,10,5407,3706,50,1556,2189,685.4,1.35
C88044,MANCHESTER ROAD SURGERY,2026-04-01 00:00:00,10,5407,3734,66,1729,2269,690.6,1.77
C88044,MANCHESTER ROAD SURGERY,2026-05-01 00:00:00,10,5407,3435,74,1586,2079,635.3,2.15
C88045,DYKES HALL MEDICAL CENTRE,2025-11-01 00:00:00,7,8801,6110,119,4334,1640,694.2,1.95
C88045,DYKES HALL MEDICAL CENTRE,2025-12-01 00:00:00,7,8801,6005,155,4282,1871,682.3,2.58
C88045,DYKES HALL MEDICAL CENTRE,2026-01-01 00:00:00,7,8801,6603,153,4923,1948,750.3,2.32
C88045,DYKES HALL MEDICAL CENTRE,2026-02-01 00:00:00,7,8801,6170,128,4360,1749,701.1,2.07
C88045,DYKES HALL MEDICAL CENTRE,2026-04-01 00:00:00,7,8801,6142,140,4345,1943,697.9,2.28
C88045,DYKES HALL MEDICAL CENTRE,2026-05-01 00:00:00,7,8801,5853,148,4310,1770,665.0,2.53
C88046,BEAUCHIEF MEDICAL PRACTICE,2025-11-01 00:00:00,7,6915,4099,58,2188,2118,592.8,1.41
C88046,BEAUCHIEF MEDICAL PRACTICE,2025-12-01 00:00:00,7,6915,4414,63,2377,2375,638.3,1.43
C88046,BEAUCHIEF MEDICAL PRACTICE,2026-01-01 00:00:00,7,6915,4129,49,2030,2351,597.1,1.19
C88046,BEAUCHIEF MEDICAL PRACTICE,2026-02-01 00:00:00,7,6915,3877,66,1918,2081,560.7,1.7
C88046,BEAUCHIEF MEDICAL PRACTICE,2026-04-01 00:00:00,7,6915,4439,67,1721,2499,641.9,1.51
C88046,BEAUCHIEF MEDICAL PRACTICE,2026-05-01 00:00:00,7,6915,4507,62,1432,2877,651.8,1.38
C88047,WINCOBANK MEDICAL CENTRE,2025-11-01 00:00:00,3,7673,4146,134,3335,1761,540.3,3.23
C88047,WINCOBANK MEDICAL CENTRE,2025-12-01 00:00:00,3,7673,3994,112,3291,1671,520.5,2.8
C88047,WINCOBANK MEDICAL CENTRE,2026-01-01 00:00:00,3,7673,4099,110,3385,1847,534.2,2.68
C88047,WINCOBANK MEDICAL CENTRE,2026-02-01 00:00:00,3,7673,3887,109,3253,1642,506.6,2.8
C88047,WINCOBANK MEDICAL CENTRE,2026-04-01 00:00:00,3,7673,4079,134,3322,1887,531.6,3.29
C88047,WINCOBANK MEDICAL CENTRE,2026-05-01 00:00:00,3,7673,3648,93,3013,1829,475.4,2.55
C88048,BURNGREAVE SURGERY,2025-11-01 00:00:00,3,8108,4107,241,1888,1737,506.5,5.87
C88048,BURNGREAVE SURGERY,2025-12-01 00:00:00,3,8108,4079,271,1991,1753,503.1,6.64
C88048,BURNGREAVE SURGERY,2026-01-01 00:00:00,3,8108,4260,290,1976,1848,525.4,6.81
C88048,BURNGREAVE SURGERY,2026-02-01 00:00:00,3,8108,4087,302,1919,1665,504.1,7.39
C88048,BURNGREAVE SURGERY,2026-04-01 00:00:00,3,8108,4113,335,1916,1711,507.3,8.14
C88048,BURNGREAVE SURGERY,2026-05-01 00:00:00,3,8108,3516,274,1839,1404,433.6,7.79
C88049,ELM LANE SURGERY,2025-11-01 00:00:00,3,5968,3344,117,1981,1299,560.3,3.5
C88049,ELM LANE SURGERY,2025-12-01 00:00:00,3,5968,3514,113,2035,1441,588.8,3.22
C88049,ELM LANE SURGERY,2026-01-01 00:00:00,3,5968,3190,147,1763,1262,534.5,4.61
C88049,ELM LANE SURGERY,2026-02-01 00:00:00,3,5968,3086,124,1644,1292,517.1,4.02
C88049,ELM LANE SURGERY,2026-04-01 00:00:00,3,5968,3308,114,1952,1280,554.3,3.45
C88049,ELM LANE SURGERY,2026-05-01 00:00:00,3,5968,2888,75,1595,1226,483.9,2.6
C88050,JAUNTY SPRINGS HEALTH CENTRE,2025-11-01 00:00:00,2,3501,1896,92,1773,857,541.6,4.85
C88050,JAUNTY SPRINGS HEALTH CENTRE,2025-12-01 00:00:00,2,3501,1905,108,1793,1018,544.1,5.67
C88050,JAUNTY SPRINGS HEALTH CENTRE,2026-01-01 00:00:00,2,3501,2183,102,2076,1246,623.5,4.67
C88050,JAUNTY SPRINGS HEALTH CENTRE,2026-02-01 00:00:00,2,3501,1891,101,1776,912,540.1,5.34
C88050,JAUNTY SPRINGS HEALTH CENTRE,2026-04-01 00:00:00,2,3501,2149,96,2011,984,613.8,4.47
C88050,JAUNTY SPRINGS HEALTH CENTRE,2026-05-01 00:00:00,2,3501,1990,102,1859,1064,568.4,5.13
C88051,PAGE HALL MEDICAL CENTRE,2025-11-01 00:00:00,1,7900,4138,147,1377,1516,523.8,3.55
C88051,PAGE HALL MEDICAL CENTRE,2025-12-01 00:00:00,1,7900,3984,175,1344,1256,504.3,4.39
C88051,PAGE HALL MEDICAL CENTRE,2026-01-01 00:00:00,1,7900,4229,145,1413,1363,535.3,3.43
C88051,PAGE HALL MEDICAL CENTRE,2026-02-01 00:00:00,1,7900,4270,150,1506,1179,540.5,3.51
C88051,PAGE HALL MEDICAL CENTRE,2026-04-01 00:00:00,1,7900,3669,108,1186,1150,464.4,2.94
C88051,PAGE HALL MEDICAL CENTRE,2026-05-01 00:00:00,1,7900,3061,134,1072,910,387.5,4.38
C88052,HOLLIES MEDICAL CENTRE,2025-11-01 00:00:00,8,11027,7616,109,3837,4049,690.7,1.43
C88052,HOLLIES MEDICAL CENTRE,2025-12-01 00:00:00,8,11027,8025,88,4153,4133,727.8,1.1
C88052,HOLLIES MEDICAL CENTRE,2026-01-01 00:00:00,8,11027,8315,105,4517,4462,754.1,1.26
C88052,HOLLIES MEDICAL CENTRE,2026-02-01 00:00:00,8,11027,7422,61,3913,4069,673.1,0.82
C88052,HOLLIES MEDICAL CENTRE,2026-04-01 00:00:00,8,11027,8042,81,4192,4227,729.3,1.01
C88052,HOLLIES MEDICAL CENTRE,2026-05-01 00:00:00,8,11027,7539,71,3746,3983,683.7,0.94
C88053,FALKLAND HOUSE SURGERY,2025-11-01 00:00:00,10,3967,1744,11,648,717,439.6,0.63
C88053,FALKLAND HOUSE SURGERY,2025-12-01 00:00:00,10,3967,1569,21,573,669,395.5,1.34
C88053,FALKLAND HOUSE SURGERY,2026-01-01 00:00:00,10,3967,1750,15,678,733,441.1,0.86
C88053,FALKLAND HOUSE SURGERY,2026-02-01 00:00:00,10,3967,1775,15,702,656,447.4,0.85
C88053,FALKLAND HOUSE SURGERY,2026-04-01 00:00:00,10,3967,1699,24,619,662,428.3,1.41
C88053,FALKLAND HOUSE SURGERY,2026-05-01 00:00:00,10,3967,1423,10,475,602,358.7,0.7
C88054,GRENOSIDE SURGERY,2025-11-01 00:00:00,8,7774,3534,88,2299,1101,454.6,2.49
C88054,GRENOSIDE SURGERY,2025-12-01 00:00:00,8,7774,3701,99,2264,1292,476.1,2.67
C88054,GRENOSIDE SURGERY,2026-01-01 00:00:00,8,7774,3505,78,2215,1116,450.9,2.23
C88054,GRENOSIDE SURGERY,2026-02-01 00:00:00,8,7774,3469,97,2080,1073,446.2,2.8
